tag	monat	jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatzzahl	Superzahl
9	10	1955	13	41	3	23	12	16
16	10	1955	12	32	30	49	3	18
23	10	1955	34	12	14	24	36	23
30	10	1955	30	13	36	44	23	4
6	11	1955	31	44	6	49	5	39
13	11	1955	29	44	6	37	22	18
20	11	1955	27	44	8	16	12	4
27	11	1955	26	37	9	44	46	24
4	12	1955	47	20	31	26	21	5
11	12	1955	10	26	37	8	31	22
18	12	1955	26	8	42	39	36	14
26	12	1955	34	38	42	39	9	5
1	1	1956	38	22	46	4	27	36
8	1	1956	37	6	41	22	21	42
15	1	1956	29	1	19	9	49	16
22	1	1956	23	40	35	12	17	27
29	1	1956	18	5	22	6	38	43
5	2	1956	26	42	43	12	35	36
12	2	1956	14	1	23	27	33	30
19	2	1956	26	35	38	20	42	8
26	2	1956	30	42	1	48	32	45
4	3	1956	41	6	4	47	17	19
11	3	1956	6	28	9	26	20	22
18	3	1956	26	10	3	49	24	38
25	3	1956	42	16	18	3	37	19
2	4	1956	25	10	32	7	43	22
8	4	1956	32	39	19	25	2	30
15	4	1956	46	32	14	31	12	1
22	4	1956	19	33	21	10	24	35
29	4	1956	18	4	40	36	47	34
6	5	1956	45	39	41	49	3	1
13	5	1956	43	31	39	32	4	34
21	5	1956	22	12	37	31	6	42
27	5	1956	36	33	38	43	35	5
3	6	1956	36	34	35	11	33	17
10	6	1956	23	40	14	46	10	16
17	6	1956	25	41	5	46	38	19	24
24	6	1956	37	18	43	32	14	16	21
1	7	1956	44	13	35	21	25	5	10
8	7	1956	47	3	43	20	48	42	19
15	7	1956	48	12	19	17	34	23	32
22	7	1956	38	48	5	10	18	8	14
29	7	1956	27	35	9	17	23	10	39
5	8	1956	40	9	23	25	31	46	49
12	8	1956	10	31	4	11	26	47	13
19	8	1956	5	34	33	14	6	40	21
26	8	1956	36	3	16	29	25	11	39
2	9	1956	49	48	40	31	26	14	10
9	9	1956	42	47	15	28	27	22	33
16	9	1956	42	23	17	8	4	18	41
23	9	1956	31	9	5	22	21	6	10
30	9	1956	9	10	39	36	27	24	19
7	10	1956	33	44	29	36	9	6	39
14	10	1956	32	10	11	25	12	42	27
21	10	1956	41	22	1	2	48	36	20
28	10	1956	17	5	49	39	29	47	31
4	11	1956	38	7	16	19	39	33	42
11	11	1956	29	36	7	34	49	14	15
18	11	1956	37	40	39	28	16	14	42
25	11	1956	16	36	44	25	6	9	34
2	12	1956	15	9	47	10	27	21	14
9	12	1956	32	11	13	7	43	6	33
16	12	1956	17	20	23	15	31	35	26
23	12	1956	49	45	13	47	1	5	29
6	1	1957	23	31	17	11	26	38	40
13	1	1957	20	4	16	19	17	15	28
20	1	1957	6	47	7	33	3	12	2
27	1	1957	2	39	6	9	28	49	20
3	2	1957	12	6	39	30	43	34	14
10	2	1957	31	49	18	9	17	19	30
17	2	1957	1	31	42	35	9	15	48
24	2	1957	15	16	28	43	23	2	48
3	3	1957	36	9	34	4	11	45	8
10	3	1957	2	36	45	7	35	18	29
17	3	1957	3	14	35	24	44	32	47
24	3	1957	18	48	22	45	31	14	20
31	3	1957	47	20	30	44	27	26	35
7	4	1957	2	40	31	14	48	18	36
14	4	1957	39	18	6	28	44	15	5
22	4	1957	35	44	11	39	27	45	13
28	4	1957	18	43	23	37	20	33	42
5	5	1957	31	41	4	2	27	22	38
12	5	1957	15	21	31	17	24	40	8
19	5	1957	28	16	44	30	20	29	4
26	5	1957	24	35	3	45	40	1	42
2	6	1957	4	32	37	14	3	29	5
10	6	1957	7	47	1	32	8	35	3
16	6	1957	21	38	14	44	34	30	25
23	6	1957	10	12	19	4	25	8	13
30	6	1957	23	31	15	36	37	46	24
7	7	1957	26	11	5	22	6	14	46
